label,max,min,std,mean
4,11.9140433692,21.7460530692,1.10324820333,6.10128681168
4,12.0424155319,22.3484087199,0.900386348557,6.49092295294
4,12.118940705,23.5999742648,2.20039235994,6.54128156864
4,11.9257830041,22.9135911616,2.53861512149,6.1129165007
4,12.2236376233,24.9262819623,0.82050582141,7.07759734933
4,12.2470909695,25.5128792332,1.66235212925,6.65883921264
1,10.8792741714,24.5888434569,2.42434536254,4.99913127088
1,10.6273171065,24.8942781056,1.44079843872,5.20179480157
1,10.6956231892,23.7692904746,1.10920152359,4.89499027434
1,10.9803905477,24.57028416,1.77341948111,4.90249071322
1,10.338141248,24.7632829679,2.60390979105,5.00131868987
1,10.7385638417,24.3899548342,2.72635007365,4.88436389927
2,9.86184074666,16.8487720801,4.08505988184,2.8504109182
2,9.92295544987,17.8320261986,4.08658101369,3.16694337923
2,9.87676400425,17.5401785714,3.93198938853,3.40057280935
2,9.87450351324,16.7191144289,3.86597200538,2.95459929339
2,10.0558277268,17.5902037661,3.01502329611,3.54457145015
2,9.56346831984,16.8103678047,3.73565196797,2.7496140225
3,9.23930707996,17.5362925278,3.991621872,2.28627869153
3,9.79887987091,17.2775327752,3.06672646686,3.48793389852
3,9.87928257212,19.3274268764,2.71762639792,3.88163101908
3,9.34152913872,18.6399773609,2.95470514351,3.51459025175
3,9.93264303107,18.8671497863,3.25101466662,3.66697446261
3,9.80843129675,19.8664198883,3.85609819772,3.74333069222
2,9.8115383487,17.5592177966,3.14349836887,3.30779231668
2,9.45966134054,16.3320071151,3.02224450743,3.213612106
2,9.99603355126,17.569473635,3.63655641688,3.16816794964
2,9.58659326055,18.0758591618,2.82099060373,3.24600953571
2,9.75762270012,18.0329180445,2.95517606519,3.55677636005
2,9.61830671943,15.9962328522,4.77623860006,3.15794356477
3,9.93739566853,18.7290432729,2.50573673111,3.80656834157
3,9.85492007274,19.5351458194,2.75686749456,3.91236866216
3,9.73873297428,20.5676630466,1.60246154708,4.02675667046
3,10.0523967009,19.2925721945,2.92079456513,4.08850798201
3,9.33529997308,19.7830374954,2.70335594631,3.79472101375
3,9.45804927939,15.5153998859,4.87673117915,3.37029984667
2,9.87655814043,16.5033769122,3.81182403461,3.16215300807
2,9.58329335955,16.2694985298,3.03103992896,3.32289910787
2,10.1600959097,18.1657718673,3.52990437313,3.72072208594
2,9.64977573013,19.0811726349,3.2290279367,3.05405426531
2,9.88861167347,19.0836482139,1.29314428973,3.60672180609
2,9.7173965878,15.0677559305,4.54444267826,2.722853947
3,9.51248766307,17.7228362742,2.87143930773,3.69889135241
3,10.0381279679,20.2453951491,2.61414892101,4.44300727709
3,9.86699967217,20.1013916839,2.604515341,4.2576751427
3,10.2138380255,20.6401582432,3.61106208916,4.24699764445
3,10.0041723021,19.7104170966,2.51884386359,3.95209334331
3,10.1443036633,17.8371907057,4.02210956866,3.92177120014
2,10.1140206089,18.5638795327,2.43994380987,3.82858555274
2,9.86155387416,17.9557614345,3.93158829373,3.44115338906
2,9.84774084526,17.3030633913,2.53784762842,3.51154355242
2,9.95494647625,19.634146999,1.64541464444,3.9762714077
2,9.89918393388,18.9631722872,4.08051609306,3.51614412172
2,10.553376876,17.4853546594,5.9478517054,3.20386928285
3,9.53621252409,18.5565169635,3.40938817749,3.79903370485
3,9.97877457027,21.8860343073,2.35612329275,4.53099645438
3,9.51529079207,19.3211680626,3.09421805778,4.23784762357
3,9.45357945688,20.2097733116,0.565859463229,4.40821228962
3,10.0984837742,21.1200996575,2.70729907042,4.60375611287
3,9.64599580816,9.64599580816,9.64599580816,0.0
4,12.8051873368,23.4562049212,1.05722330875,5.79739374042
4,12.9018562022,23.6911105147,1.28277356093,5.75512756554
4,13.8015957785,23.780190931,3.93599779672,5.72452858204
4,14.2774222662,23.6545490963,3.47892574836,5.60072647212
4,14.3848832119,24.4189637766,2.56363036267,5.71431117967
4,11.8678731046,23.5489194084,4.54793183204,4.50749372601
1,10.5630889925,24.2426464566,1.75401308251,4.9523780866
1,10.8001457554,24.3253531465,1.82217646649,5.12931662068
1,11.0186407657,23.5088863196,3.29795283474,4.61934119155
1,10.616904349,19.5776524577,3.05317653174,4.41634828858
1,10.9076600102,22.5684307979,3.35453423906,4.8001510722
1,10.7578843654,24.3823317762,3.44799310986,4.76789082095
4,12.5979426888,22.731617422,1.85636898938,5.86596369564
4,13.934144331,25.272484999,3.15862891722,6.0186002011
4,14.6472384835,24.1921836202,4.0759445069,5.36796798351
4,14.204108448,24.0355410887,4.00514651367,5.71900400139
4,14.3748308024,24.2868671433,2.00450618272,5.57108816627
4,14.2854064354,27.0896690839,2.42296772078,5.83241384936
4,14.9226302803,23.6773641615,4.18935851266,5.54543896233
4,14.3937784929,25.8568626247,5.02023911065,5.56394328969
4,13.820888088,24.2777304406,4.36044741271,5.8149227716
4,14.619675285,24.0390987383,3.57105153448,5.66862232127
4,14.0994952775,24.0344197096,2.42663999834,5.75800631609
4,13.4831954482,25.3007153072,2.38888630967,5.95330565852
4,15.3523272446,25.7152929072,5.36309733206,5.36276044931
4,14.199196859,24.4859989071,4.80340831455,5.57755801095
4,14.3135376133,25.3939748992,1.94961370236,5.61743866903
4,13.1637522238,23.8871002848,1.21358749822,5.82872871679
4,14.9585879206,23.9125227534,4.36933019356,5.38517686036
4,12.8219002499,23.652093511,1.90572949698,5.10139068582
1,10.2727006562,19.3738367512,3.56442180678,2.69657171591
1,10.7816040764,19.8141054349,2.72086692134,3.85651642689
1,10.6386236512,19.5228821155,3.16681139821,3.6079803999
1,10.510500644,17.7728421873,3.22434219138,3.53953854636
1,10.5208726376,18.9763115972,2.79857545342,3.68063854922
1,10.7760652031,20.1742825442,3.32339275614,3.61387557797
1,10.6342540414,20.1431500664,3.28758623688,3.80222203944
1,10.584587924,18.7712599638,3.63203870312,3.38957142045
1,10.6174529181,19.0938464197,3.22232784443,3.64333583897
1,10.6963012384,19.2778986438,4.02556746496,3.49347637609
1,10.5423760993,18.3466679008,3.44831588355,3.44351495838
1,10.5675395483,17.1401616112,3.42651247422,3.20697057807
1,10.6625815138,18.1985944634,3.38590977147,3.47026131899
1,10.5057052096,17.0741744235,3.39171262535,3.40876121756
1,10.7577981006,17.9573268439,3.34245669162,3.56370126153
1,10.5517502827,19.2288671323,3.90267533507,3.38983834725
1,10.780184561,19.4893848806,3.96688979924,3.6162984531
1,10.5490979707,18.5242444002,4.18191263251,3.46399395243
1,10.5854324988,19.1091691998,4.0005350157,3.49767127167
1,10.6772432268,19.4941673485,4.14195197727,3.49702172965
1,10.5168755231,18.5034956456,3.01653041591,3.27907828313
1,10.5172522284,18.5043790627,4.15724168548,3.33978141213
1,10.5929498762,19.5582970106,3.90585891051,3.40356981532
1,10.4697229139,18.223410027,3.23207144911,3.3565694785
1,10.6544145536,18.2983786927,3.54741429491,3.60871213485
1,10.6658956729,19.4512164049,3.52282860658,3.59622683345
